"","X1","LowestRisk"
"1",6040,0
"2",10441,0
"3",262,0
"4",875,1
"5",25678,0
"6",58953,0
"7",51354,0
"8",13747,1
"9",46045,0
"10",43149,0
"11",21193,0
"12",224,0
"13",41143,1
"14",27405,0
"15",48527,0
"16",23359,0
"17",14146,0
"18",46527,0
"19",8801,1
"20",1217,0
"21",57624,0
"22",56570,1
"23",5556,0
"24",33958,1
"25",2000,0
"26",22190,1
"27",25101,0
"28",48049,1
"29",17080,1
"30",36999,1
"31",44926,0
"32",57761,0
"33",754,0
"34",4071,1
"35",45042,0
"36",10400,1
"37",45831,0
"38",15361,1
"39",26011,0
"40",36976,0
"41",20787,0
"42",10705,0
"43",46308,1
"44",9002,0
"45",41268,1
"46",50781,1
"47",35517,1
"48",6003,1
"49",41252,0
"50",54396,1
"51",22668,0
"52",25326,0
"53",2478,1
"54",19877,1
"55",3580,1
"56",55818,0
"57",4187,0
"58",15387,0
"59",40633,0
"60",55891,0
"61",21082,1
"62",14661,0
"63",13784,1
"64",48144,0
"65",42025,0
"66",6549,0
"67",57959,1
"68",57475,1
"69",38942,0
"70",51409,1
"71",2445,1
"72",47356,0
"73",25400,0
"74",46871,1
"75",17434,0
"76",38933,0
"77",24166,1
"78",27760,0
"79",59204,0
"80",25615,0
"81",41379,1
"82",56095,0
"83",24211,0
"84",2562,0
"85",41597,1
"87",8056,0
"88",56851,1
"89",19475,0
"90",35422,0
"91",4552,1
"92",3619,0
"93",3274,0
"94",22705,0
"95",31464,0
"96",41620,0
"97",26387,1
"98",47112,1
"99",37867,0
"100",24204,0
"101",38675,1
"102",1,0
"103",17685,0
"104",21349,0
"105",30141,1
"106",37781,0
"107",21025,0
"108",57648,0
"109",41543,1
"110",9619,0
"111",33874,0
"112",5144,0
"113",14922,0
"114",15866,0
"115",31858,1
"117",59099,0
"118",43786,0
"119",8004,0
"120",32984,0
"121",23438,0
"122",37980,1
"123",11598,1
"124",56319,0
"125",36635,0
"126",36708,0
"127",58519,1
"129",12379,1
"130",16833,0
"131",33816,1
"132",58279,0
"133",23831,1
"134",47594,0
"135",7123,1
"136",39957,1
"137",39733,0
"138",54003,1
"139",43137,1
"140",31018,1
"141",30907,1
"142",115,0
"143",37262,1
"144",43963,1
"145",5989,1
"146",27114,0
"147",57018,0
"148",18250,0
"149",12421,1
"150",14160,1
"152",14331,0
"153",8270,0
"154",38839,0
"155",1771,1
"156",33443,0
"157",5736,0
"158",15232,1
"159",39010,0
"160",30252,1
"161",30717,0
"162",17192,0
"163",59273,0
"164",50365,0
"165",31442,1
"167",38690,0
"168",46116,0
"169",11721,0
"170",37589,0
"171",1489,0
"172",49236,0
"173",16403,0
"174",20268,0
"175",46145,0
"176",44250,1
"177",47075,0
"178",48467,1
"179",36682,0
"180",51670,0
"181",8889,0
"182",17454,0
"183",48972,0
"184",35657,0
"185",39045,0
"186",23625,0
"187",54062,0
"188",56446,1
"189",49942,1
"190",52381,1
"191",23067,0
"192",17940,0
"193",6632,0
"194",57247,1
"195",2633,0
"196",5638,0
"197",34802,0
"198",7901,0
"199",4965,1
"200",38795,1
"201",27624,0
"202",8541,0
"203",21409,1
"205",22174,0
"206",50900,0
"207",33966,0
"208",17982,1
"209",19483,1
"211",30963,0
"212",79,1
"213",47667,0
"214",15220,0
"215",39280,1
"216",40138,0
"217",51764,0
"218",16963,0
"219",38587,1
"220",46899,0
"221",54152,1
"222",23938,0
"223",2239,0
"224",30320,0
"225",38917,1
"226",41534,1
"227",45360,1
"228",55409,0
"229",5716,0
"230",57450,1
"231",18881,1
"232",995,0
"233",49131,0
"234",29513,1
"235",59376,0
"236",833,1
"237",5889,0
"238",2404,0
"239",12945,1
"240",40052,1
"241",36546,0
"242",13950,0
"243",22123,1
"244",11417,1
"245",6212,1
"246",26034,1
"247",27948,1
"248",57192,1
"249",58830,0
"250",33260,1
"251",51603,0
"252",19024,0
"253",21166,0
"254",55663,0
"255",24128,1
"256",28779,0
"257",39843,0
"258",20502,1
"259",13043,1
"260",1177,1
"261",52067,1
"262",12927,1
"263",6343,0
"264",40643,0
"265",57273,0
"266",20262,1
"267",46697,0
"268",22507,0
"269",44453,0
"270",35160,0
"271",55041,1
"272",47024,1
"273",54789,0
"274",34571,0
"275",25989,1
"276",13640,1
"277",26454,1
"278",54456,1
"279",35786,0
"280",36916,0
"281",44671,0
"282",29494,1
"283",7717,0
"284",11033,0
"285",47663,1
"286",30935,0
"287",49691,0
"288",7182,1
"289",26881,1
"290",17385,0
"291",2763,0
"292",36468,0
"293",27656,1
"294",2735,0
